,Prix (€),Marque,Taille,Etat,Matière,Localisation,Option de paiement,Vues,Date d'ajout,Département,Libellé du département,Nbvoix,%popent,%popvot
119,10.0,Levi's,W38 | FR 48,Très bon état,,Le Chambon-Feugerolles,Carte bancaire,21,"12/28/2023, 1:05:01 PM",42,Loire,60447.0,11.71,24.85
120,9.0,Lee Cooper,W34 | FR 44,Très bon état,"Coton, Polyes",Lyon,Carte bancaire,13,"12/28/2023, 4:12:15 PM",69,Rhône,187775.0,15.75,31.479999999999997
121,10.0,Nike,L,Très bon état,,Saint-Jean-Lasseille,Carte bancaire,25,"12/29/2023, 10:06:33 AM",66,Pyrénées-Orientales,40475.0,11.14,23.82
122,5.0,Zara,W31 | FR 40,Très bon état,,Feignies,Carte bancaire,0,"12/29/2023, 12:24:43 PM",59,Nord,232470.0,12.77,29.29
123,5.0,Bonobo,W32 | FR 42,Très bon état,"Coton, Polyes",Fondettes,Carte bancaire,11,"12/28/2023, 6:08:18 PM",37,Indre-et-Loire,70126.0,15.86,31.799999999999997
124,5.0,Jack & Jones,W31 | FR 40,Neuf sans étiquette,,Achicourt,Carte bancaire,10,"12/28/2023, 11:02:03 AM",62,Pas-de-Calais,111504.0,10.17,22.5
125,5.0,,W27 | FR 36,Très bon état,,Châtenay-Malabry,Carte bancaire,4,"12/29/2023, 1:22:42 AM",92,Hauts-de-Seine,165750.0,16.51,31.63
126,5.0,Bershka,W31 | FR 40,Très bon état,,Feignies,Carte bancaire,0,"12/29/2023, 12:20:44 PM",59,Nord,232470.0,12.77,29.29
127,5.0,Bershka,W31 | FR 40,Très bon état,,Feignies,Carte bancaire,0,"12/29/2023, 12:19:24 PM",59,Nord,232470.0,12.77,29.29
128,5.0,Shein,W23 | FR 32,Neuf avec étiquette,Coton,Fondettes,Carte bancaire,3,"12/28/2023, 9:11:26 AM",37,Indre-et-Loire,70126.0,15.86,31.799999999999997
129,5.0,Pull & Bear,W32 | FR 42,Bon état,,Perros-Guirec,Carte bancaire,1,"12/27/2023, 1:38:18 PM",22,Côtes-d'Armor,72743.0,15.37,28.380000000000003
130,5.0,Ross Carra,W26 | FR 36,Bon état,,Blainville-sur-l'Eau,Carte bancaire,4,"12/28/2023, 1:46:54 PM",54,Meurthe-et-Moselle,56808.0,11.5,25.669999999999998
131,8.0,Jules,W30 | FR 40,Très bon état,,Valenciennes,Carte bancaire,5,"12/28/2023, 5:15:59 PM",59,Nord,232470.0,12.77,29.29
132,5.0,SMOG,W36 | FR 46,Bon état,,Le Mans,Carte bancaire,3,"12/28/2023, 8:45:19 PM",72,Sarthe,46201.0,11.209999999999999,25.23
133,6.0,,W34 | FR 44,Très bon état,,Tourny,Carte bancaire,13,"12/28/2023, 6:19:17 PM",27,Eure,53761.0,12.389999999999999,25.92
134,5.0,Zara,W32 | FR 42,Satisfaisant,,Riantec,Carte bancaire,2,"12/29/2023, 10:43:33 AM",56,Morbihan,82148.0,13.440000000000001,26.09
135,6.0,Zara,W30 | FR 40,Très bon état,,Feignies,Carte bancaire,1,"12/29/2023, 11:39:14 AM",59,Nord,232470.0,12.77,29.29
136,5.0,Leeyo Jeans,W28 | FR 38,Très bon état,,Buigny-Saint-Maclou,Carte bancaire,0,"12/29/2023, 12:51:07 PM",80,Somme,52514.0,12.78,26.61
137,5.0,Casual by Gémo,W38 | FR 48,Neuf sans étiquette,,Fougueyrolles,Carte bancaire,1,"12/29/2023, 11:09:58 AM",24,Dordogne,43986.0,13.77,25.77
138,10.0,Redskins,W33 | FR 42,Neuf avec étiquette,,Arles,Carte bancaire,2,"12/29/2023, 12:27:06 PM",13,Bouches-du-Rhône,188860.0,13.299999999999999,30.729999999999997
139,5.0,Pull & Bear,W26 | FR 36,Très bon état,,Cabriès,Carte bancaire,124,"12/28/2023, 6:55:30 PM",13,Bouches-du-Rhône,188860.0,13.299999999999999,30.729999999999997
140,5.0,Openfield,W36 | FR 46,Très bon état,,Seichamps,Carte bancaire,129,"12/28/2023, 6:50:32 AM",54,Meurthe-et-Moselle,56808.0,11.5,25.669999999999998
141,5.0,John H,W24 | FR 34,Neuf sans étiquette,"Coton, Élasthanne",Villejuif,Carte bancaire,0,"12/29/2023, 11:46:27 AM",94,Val-de-Marne,150867.0,18.8,40.26
142,10.0,RAW,W25 | FR 34,Neuf sans étiquette,,Paris,Carte bancaire,0,"12/29/2023, 12:15:38 PM",75,Paris,298944.0,21.94,40.16
143,7.0,ICON,W32 | FR 42,Très bon état,,Berre-l'Étang,Carte bancaire,105,"12/27/2023, 10:16:05 AM",13,Bouches-du-Rhône,188860.0,13.299999999999999,30.729999999999997
144,5.0,Jack & Jones,W32 | FR 42,Très bon état,,Guiler-sur-Goyen,Carte bancaire,125,"12/24/2023, 10:42:36 AM",29,Finistère,118179.0,16.59,32.06
145,5.0,Kiliwatch,W32 | FR 42,Neuf sans étiquette,,Camaret-sur-Aigues,Carte bancaire,0,"12/29/2023, 12:39:04 PM",84,Vaucluse,49879.0,12.06,26.27
146,6.0,,W34 | FR 44,Très bon état,,Lamonzie-Saint-Martin,Carte bancaire,13,"12/28/2023, 5:49:40 PM",24,Dordogne,43986.0,13.77,25.77
147,5.0,Dsquared2,W23 | FR 32,Satisfaisant,,Carpiquet,Carte bancaire,67,"12/28/2023, 2:35:59 PM",14,Calvados,75199.0,14.61,29.09
148,8.0,Quiksilver,W36 | FR 46,Très bon état,Coton,Saint-Germain,Carte bancaire,2,"12/26/2023, 8:31:44 AM",7,Ardèche,24851.0,9.68,18.490000000000002
